"theta_1","theta_2","theta_3","theta_4","theta_5","theta_6","theta_7","theta_8","theta_9","theta_10","theta_11","theta_12","theta_13","theta_14","theta_15","theta_16","iteration"
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,9.99999999473644e-09,1e-08,1e-08,1e-08,0.999,1e-08,0.999,125
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,126
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,127
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,128
0.999,0.999,1e-08,9.99999999473644e-09,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1.00044485230363e-08,0.999,129
0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,130
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,0.999,1e-08,0.999,131
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,132
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,133
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000239498201e-08,0.999,0.999,1e-08,1e-08,1.00000000104392e-08,0.999,1e-08,0.998999999999957,134
0.999,0.999,1.00000257048574e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,9.99999999473644e-09,1e-08,1e-08,9.99999999994061e-09,1e-08,1e-08,1e-08,135
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,136
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.851537776029415,1e-08,1e-08,1e-08,0.987590647692098,4.01533270284809e-06,1e-08,0.999,137
1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,138
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,9.99999993922529e-09,9.99999999994061e-09,1e-08,0.999,0.999,1e-08,0.999,139
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,140
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,141
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,142
0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,143
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,0.999,1e-08,1e-08,144
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,0.999,1e-08,1e-08,145
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,9.99999993922529e-09,1e-08,1e-08,0.999,1e-08,1e-08,0.999,146
0.999,1e-08,9.99999999972377e-09,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,0.999,1e-08,0.999,147
